ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음
1,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10176&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.9%,전화면접가상번호,37.1,42.1,7.4,1.8,9.6
2,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,39.2,-,29.2,8.4,15
3,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,44.4,49.3,-,1.5,-
4,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,43.4,47.2,5.3,1.3,-
5,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.7%,전화면접RDD,39,45.5,-,-,-
6,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.7%,전화면접RDD,39.4,42.1,8.2,3.2,-
7,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10172&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.7%,ARS가상번호,43.7,44.4,7.2,1.9,1.5
8,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,42.7,45.1,5.5,1,2.1
9,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.1%,ARSRDD,40.7,46.4,6.1,1.8,-
10,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10164&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,10.9%,전화면접RDD,37.7,39.6,8.6,1.7,10.6
