,ID,날짜,조사기관,응답률,조사방법,이재명,윤석열,안철수,심상정,없음,등록번호,선거여론조사기관,조사의뢰자,조사방법new,표본추출틀,표본크기,응답률new,접촉률,표본오차,공표일시
0,1,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10176&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,24.9%,전화면접가상번호,37.1,42.1,7.4,1.8,9.6,9124,"(주)한국리서치,입소스주식회사,(주)코리아리서치인터내셔널","방송사 : KBS, MBC, SBS","[['무선전화면접', '100%']]",['통신사제공'],2003,24.9%,28.0%,95%신뢰수준에±2.2%P,"
								
									
									
								
								  2022-03-03 19시 00분
								"
1,2,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,39.2,-,29.2,8.4,15,9123,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],2022,4.7%,25.5%,95%신뢰수준에±2.2%P,"
								
									
									
								
								  2022-03-04 06시 00분
								"
2,3,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,44.4,49.3,-,1.5,-,9123,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],2022,4.7%,25.5%,95%신뢰수준에±2.2%P,"
								
									
									
								
								  2022-03-04 06시 00분
								"
3,4,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10177&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,4.7%,ARSRDD,43.4,47.2,5.3,1.3,-,9123,"(주)코리아정보리서치중부본부,",통신사 : 뉴스핌,"[['무선 ARS', '100%']]",['RDD'],2022,4.7%,25.5%,95%신뢰수준에±2.2%P,"
								
									
									
								
								  2022-03-04 06시 00분
								"
4,5,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.7%,전화면접RDD,39,45.5,-,-,-,9121,"(주)리서치앤리서치,",전국단위 신문 : 동아일보,"[['유선전화면접', '19%'], ['무선전화면접', '81%']]","['RDD', 'RDD']",1008,12.7%,33.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 19시 00분
								"
5,6,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10174&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,12.7%,전화면접RDD,39.4,42.1,8.2,3.2,-,9121,"(주)리서치앤리서치,",전국단위 신문 : 동아일보,"[['유선전화면접', '19%'], ['무선전화면접', '81%']]","['RDD', 'RDD']",1008,12.7%,33.8%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 19시 00분
								"
6,7,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10172&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,10.7%,ARS가상번호,43.7,44.4,7.2,1.9,1.5,9119,"케이에스오아이주식회사(한국사회여론연구소),",전국단위 신문 : 헤럴드경제,"[['무선 ARS', '100%']]",['통신사제공'],1006,10.7%,34.0%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-04 06시 00분
								"
7,8,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10170&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,5.5%,ARSRDD,42.7,45.1,5.5,1,2.1,9116,"여론조사공정(주),",인터넷언론 : 재경일보,"[['무선 ARS', '100%']]",['RDD'],1008,5.5%,25.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 16시 00분
								"
8,9,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10168&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.1%,ARSRDD,40.7,46.4,6.1,1.8,-,9114,"여론조사공정(주),",인터넷언론 : 데일리안,"[['무선 ARS', '100%']]",['RDD'],3004,9.1%,26.9%,95%신뢰수준에±1.8%P,"
								
									
									
								
								  2022-03-04 07시 00분
								"
9,10,2022-03-02 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10164&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,10.9%,전화면접RDD,37.7,39.6,8.6,1.7,10.6,9111,"서던포스트,",방송사 : cbs,"[['무선전화면접', '100%']]",['RDD'],1001,10.9%,31.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 10시 00분
								"
10,11,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10162&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,7%,ARSRDD,40.9,43.6,6.1,2.3,4,9110,"한길리서치,",인터넷언론 : 쿠키뉴스,"[['유선전화면접', '16.7%'], ['무선 ARS', '83.3%']]","['RDD', 'RDD']",1021,7%,20.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 10시 00분
								"
11,12,2022-02-28 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10155&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,16.5%,전화면접RDD,38,39,12,3,6,9107,"(주)한국갤럽조사연구소,",조사기관 자체 : 한국갤럽 자체 조사,"[['무선전화면접', '90%'], ['유선전화면접', '10%']]","['RDD', 'RDD']",1002,16.5%,30.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-04 10시 00분
								"
12,13,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10148&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,12.6%,전화면접RDD,33.8,40.1,7.2,2.2,-,9106,"칸타코리아(칸타퍼블릭),",전국단위 신문/방송사 : 조선일보/TV조선,"[['유선전화면접', '10.1%'], ['무선전화면접', '89.9%']]","['RDD', 'RDD']",1009,12.6%,24.3%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 21시 00분
								"
13,14,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10150&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,19.8%,전화면접가상번호,34.1,39.9,10.3,2.1,12.2,9105,"넥스트리서치,",방송사/전국단위 신문 : MBN/매일경제신문,"[['무선전화면접', '86%'], ['유선전화면접', '14%']]","['통신사제공', 'RDD']",1004,19.8%,33.6%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 14시 00분
								"
14,15,2022-03-01 ~ 2022-03-02,https://www.nesdc.go.kr//portal/bbs/B0000005/view.do?nttId=10154&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=2,9.8%,ARSRDD,45.4,45.2,5.9,1.3,1.2,9103,"윈지코리아컨설팅,",전국단위 신문 : 아주경제,"[['무선 ARS', '100%']]",['RDD'],1015,9.8%,28.7%,95%신뢰수준에±3.1%P,"
								
									
									
								
								  2022-03-03 16시 00분
								"
